user_id | username | full name | password | type | status | balance | freebets
1 | PureAwesomeness | Barney Stinson | LEGENDwaitforitDARY | 3 | | |
2 | iwilltradewithyou | Pierre Cuzmybladerisempty | trading_is_life | 2 | | |
3 | thelegend27 | Girl Fromanad | mobile_gaming123 | 1 | A | 1540 | 120 , 12 , 30
4 | JustAGuy123 | Colin TheMarines | 911Ineedmarines | 1 | A | 325.5 | 50
5 | StarWarsFan | Han Solo ItTouchesTheGround | MayThe4thBeWithYou | 1 | L, marked by fraud detection | 150000 | 
6 | d | QuickAccessToDirector | director | 3 | | |
7 | Observer | September | greengreengreenred | 3 | | |
8 | xXxGamerxXx | That Guy | justgota1080ti | 1 | L, 360 no scope shot a director | 9001 | 
9 | Frisk | The Human | Determination | 1 | A | 0 | 
10 | Yannnis | Yanis Varoufakis | VforVarouf | 2 | | |
11 | Yannis | Yannis Antetokoumbo | #NBAVote2016 | 1 | A | 10000 | 500 , 250
